time,bid,ask
2014-01-14 17:45:19,34.11600,34.39100
2014-01-14 17:46:15,34.11600,34.39350
2014-01-14 17:46:41,34.11600,34.39100
2014-01-14 17:47:32,34.11600,34.39350
2014-01-14 17:47:59,34.11600,34.39100
2014-01-14 17:50:25,34.10000,34.39100
2014-01-14 17:51:39,34.10000,34.39350
2014-01-14 17:52:05,34.10000,34.39100
2014-01-14 17:52:29,34.10000,34.39350
2014-01-14 17:52:55,34.10000,34.39100
2014-01-14 18:10:52,33.97119,34.39100
2014-01-14 18:11:10,33.97119,34.10000
2014-01-14 18:11:22,33.97119,34.39100
2014-01-14 18:11:22,33.97119,34.08100
2014-01-14 18:11:39,33.97119,34.39100
2014-01-14 18:11:39,33.97119,34.07800
2014-01-14 18:11:45,33.97119,34.39100
2014-01-14 18:11:46,33.97119,34.08300
2014-01-14 18:12:38,33.93477,34.08300
2014-01-14 18:12:39,33.93477,34.39350
2014-01-14 18:12:39,33.93477,34.13400
2014-01-14 18:13:00,33.93727,34.13400
2014-01-14 18:13:31,33.93728,34.13400
2014-01-14 18:14:10,33.93978,34.13400
2014-01-14 18:14:39,33.93979,34.13400
2014-01-14 18:15:18,33.94229,34.13400
2014-01-14 18:15:47,33.94230,34.13400
2014-01-14 18:16:25,33.94480,34.13400
2014-01-14 18:16:56,33.94481,34.13400
2014-01-14 18:16:59,33.94481,34.39350
2014-01-14 18:16:59,33.94481,34.12600
2014-01-14 18:17:34,33.94731,34.12600
2014-01-14 18:17:47,33.94731,34.39350
2014-01-14 18:17:47,33.94731,34.13500
2014-01-14 18:18:04,33.94732,34.13500
2014-01-14 18:18:42,33.94982,34.13500
2014-01-14 18:19:10,33.94983,34.13500
2014-01-14 18:19:50,33.95233,34.13500
2014-01-14 18:20:16,33.95234,34.13500
2014-01-14 18:21:16,33.95484,34.13500
2014-01-14 18:21:22,33.95485,34.13500
2014-01-14 18:21:57,33.95735,34.13500
2014-01-14 18:22:29,33.95736,34.13500
2014-01-14 18:23:04,33.95986,34.13500
2014-01-14 18:23:35,33.95987,34.13500
2014-01-14 18:24:13,33.96237,34.13500
2014-01-14 18:25:05,33.96143,34.13500
2014-01-14 18:25:22,33.96393,34.13500
2014-01-14 18:26:13,33.96155,34.13500
2014-01-14 18:26:29,33.96405,34.13500
2014-01-14 18:27:20,33.96156,34.13500
2014-01-14 18:27:36,33.96406,34.13500
2014-01-14 18:28:15,33.96406,34.39350
2014-01-14 18:28:15,33.96406,34.16200
2014-01-14 18:29:37,33.96239,34.16200
2014-01-14 18:29:53,33.96489,34.16200
2014-01-14 18:30:45,33.96245,34.16200
2014-01-14 18:31:01,33.96495,34.16200
2014-01-14 18:31:09,33.96495,34.39350
2014-01-14 18:31:09,33.96495,34.18100
2014-01-14 18:31:25,33.96304,34.18100
2014-01-14 18:31:41,33.96554,34.18100
2014-01-14 18:32:32,33.96308,34.18100
2014-01-14 18:32:45,34.18100,34.18100
2014-01-14 18:32:45,34.18100,34.39350
2014-01-14 18:32:49,33.96558,34.39350
2014-01-14 18:33:01,33.96558,34.18100
2014-01-14 18:33:36,33.96558,33.96558
2014-01-14 18:33:36,33.96558,34.18100
2014-01-14 18:33:38,33.96558,34.39100
2014-01-14 18:33:38,33.96558,34.02800
2014-01-14 18:33:44,34.02799,34.02800
2014-01-14 18:33:45,34.02799,34.39100
2014-01-14 18:33:45,34.02799,34.18100
2014-01-14 18:35:18,33.94356,34.18100
2014-01-14 18:36:46,34.18100,34.39100
2014-01-14 18:36:50,33.94356,34.39100
2014-01-14 18:36:52,33.94356,34.18100
2014-01-14 18:37:04,33.94356,34.39100
2014-01-14 18:50:36,33.94356,34.00000
2014-01-14 18:50:38,34.00000,34.00000
2014-01-14 18:50:38,33.94356,34.00000
2014-01-14 18:51:16,34.00000,34.00000
2014-01-14 18:51:16,33.94356,34.00000
2014-01-14 18:51:42,33.92000,34.00000
2014-01-14 18:51:58,33.92250,34.00000
2014-01-14 18:52:29,34.00000,34.00000
2014-01-14 18:52:29,33.92250,34.00000
2014-01-14 18:55:38,34.00000,34.00000
2014-01-14 18:55:38,33.92250,34.00000
2014-01-14 18:55:40,34.00000,34.00000
2014-01-14 18:55:40,33.92250,34.00000
2014-01-14 19:16:27,33.92250,33.92250
2014-01-14 19:16:27,33.92250,34.00000
2014-01-14 19:17:05,33.92250,33.92250
2014-01-14 19:17:05,33.92250,34.00000
2014-01-14 19:17:12,33.92000,34.00000
2014-01-14 19:17:33,33.92250,34.00000
2014-01-14 19:18:14,33.92000,34.00000
2014-01-14 19:18:36,34.00000,34.00000
2014-01-14 19:18:36,33.92000,34.00000
2014-01-14 19:18:42,34.00000,34.00000
2014-01-14 19:18:43,33.92000,34.00000
2014-01-14 19:19:23,33.94983,34.00000
2014-01-14 19:21:10,33.94983,33.94983
2014-01-14 19:21:10,33.94983,34.00000
2014-01-14 19:22:50,34.00000,34.34390
2014-01-14 19:22:51,33.92000,33.94983
2014-01-14 19:25:25,33.92000,34.01300
2014-01-14 19:25:33,33.92000,34.39221
2014-01-14 19:25:33,33.92000,34.01500
2014-01-14 19:26:29,33.92001,34.01500
2014-01-14 19:27:30,33.92000,34.01500
2014-01-14 19:27:35,33.92001,34.01500
2014-01-14 19:28:36,33.92000,34.01500
2014-01-14 19:28:41,33.92001,34.01500
2014-01-14 19:29:40,34.01500,34.01500
2014-01-14 19:29:40,33.92001,34.01500
2014-01-14 19:29:42,33.92000,34.01500
2014-01-14 19:29:47,33.92001,34.01500
2014-01-14 19:29:55,33.92001,34.39350
2014-01-14 19:29:56,33.92001,34.01500
2014-01-14 19:29:58,33.92251,34.01500
2014-01-14 19:30:16,34.01500,34.01500
2014-01-14 19:30:16,33.92251,34.01500
2014-01-14 19:30:33,33.92001,34.01500
2014-01-14 19:30:48,33.92000,34.01500
2014-01-14 19:30:49,33.92251,34.01500
2014-01-14 19:30:53,33.92252,34.01500
2014-01-14 19:31:13,33.92252,34.39350
2014-01-14 19:31:13,33.92252,34.01500
2014-01-14 19:31:30,33.92502,34.01500
2014-01-14 19:32:00,33.92503,34.01500
2014-01-14 19:32:02,33.92503,34.39100
2014-01-14 19:32:02,33.92503,34.35000
2014-01-14 19:32:44,33.92753,34.35000
2014-01-14 19:32:50,33.92753,34.34750
2014-01-14 19:33:06,33.92754,34.34750
2014-01-14 19:33:14,33.92754,34.35000
2014-01-14 19:33:35,33.93004,34.35000
2014-01-14 19:33:40,33.93004,34.34750
2014-01-14 19:34:13,33.93005,34.34750
2014-01-14 19:34:31,33.93005,34.35000
2014-01-14 19:34:53,33.93255,34.35000
2014-01-14 19:34:59,33.93255,34.34750
2014-01-14 19:35:19,33.93256,34.34750
2014-01-14 19:35:23,33.93256,34.35000
2014-01-14 19:35:49,33.93256,34.34750
2014-01-14 19:35:54,33.93256,34.19200
2014-01-14 19:36:21,33.92000,34.19200
2014-01-14 19:36:25,33.92001,34.19200
2014-01-14 19:36:36,33.93506,34.19200
2014-01-14 19:36:52,34.20000,34.39350
2014-01-14 19:36:56,33.93506,34.39350
2014-01-14 19:37:04,33.93506,34.19200
2014-01-14 19:37:17,33.93506,34.39350
2014-01-14 19:37:17,33.93506,34.27700
2014-01-14 19:37:23,33.92001,34.27700
2014-01-14 19:37:24,33.92001,34.39350
2014-01-14 19:37:24,33.92001,34.35000
2014-01-14 19:37:28,33.92000,34.35000
2014-01-14 19:37:33,33.92001,34.35000
2014-01-14 19:37:44,33.92250,34.35000
2014-01-14 19:37:58,33.92250,34.39100
2014-01-14 19:37:58,33.92250,34.19200
2014-01-14 19:38:18,33.92001,34.19200
2014-01-14 19:38:20,34.19200,34.19200
2014-01-14 19:38:20,34.19200,34.39350
2014-01-14 19:38:24,33.92001,34.39350
2014-01-14 19:38:29,33.92001,34.19200
2014-01-14 19:38:34,33.92251,34.19200
2014-01-14 19:38:35,33.92251,34.39350
2014-01-14 19:38:36,33.92251,34.36200
2014-01-14 19:38:39,33.92252,34.36200
2014-01-14 19:39:25,33.92502,34.36200
2014-01-14 19:39:45,33.92503,34.36200
2014-01-14 19:40:00,33.92503,34.39350
2014-01-14 19:40:16,33.92753,34.39350
2014-01-14 19:40:21,33.92753,34.39100
2014-01-14 19:40:48,33.92753,34.35700
2014-01-14 19:40:51,33.92754,34.35700
2014-01-14 19:41:04,33.92754,34.39100
2014-01-14 19:41:04,33.92754,34.36200
2014-01-14 19:41:20,33.92754,34.39350
2014-01-14 19:41:20,33.92754,34.35700
2014-01-14 19:41:33,33.93004,34.35700
2014-01-14 19:41:58,33.93005,34.35700
2014-01-14 19:42:59,33.92250,34.35700
2014-01-14 19:43:00,33.92000,34.35700
2014-01-14 19:43:04,33.92001,34.35700
2014-01-14 19:43:16,33.93255,34.35700
2014-01-14 19:44:03,33.93255,34.39100
2014-01-14 19:44:04,33.93255,34.36200
2014-01-14 19:44:10,33.93256,34.36200
2014-01-14 19:44:33,34.07000,34.36200
2014-01-14 19:45:06,34.07250,34.36200
2014-01-14 19:46:50,34.07250,34.39100
2014-01-14 19:47:40,34.07250,34.35600
2014-01-14 19:48:26,34.09000,34.35600
2014-01-14 19:49:14,34.09250,34.35600
